index,output.relations_noOffset,aqs,aqs_initial
follow - up--injured,10605,0.0001,0.0001
foils-r-piracy,10605,0.0001,0.0001
concluded--wounded,10605,0.0001,0.0001
chase--walked,10605,0.0001,0.0001
chase--suspected,10605,0.0001,0.0001
gunfire-r-killed,10605,0.0001,0.0001
injury-r-murder,10605,0.0001,0.0001
case--weighed,10605,0.0001,0.0001
case-r-concluded,10605,0.0001,0.0001
case-r-custody,10605,0.0001,0.0001
case-r-status,10605,0.0001,0.0001
case-r-warrants,10605,0.0001,0.0001
injuring--opened fire,10605,0.0001,0.0001
culminated--worked,10605,0.0001,0.0001
injures--shooting,10605,0.0001,0.0001
caught--crossfire,10605,0.0001,0.0001
caught--follow - up,10605,0.0001,0.0001
injury-r-returned,10605,0.0001,0.0001
injured--shot,10605,0.0001,0.0001
injured--shooting,10605,0.0001,0.0001
in vain-r-mental health problems,10605,0.0001,0.0001
chaos--dead,10605,0.0001,0.0001
chaos--riot,10605,0.0001,0.0001
in vain--mental health problems,10605,0.0001,0.0001
fatal shooting--gunplay,10605,0.0001,0.0001
chaos-r-sounds,10605,0.0001,0.0001
in search--surprised,10605,0.0001,0.0001
chaotic--protest,10605,0.0001,0.0001
fatal shooting--released,10605,0.0001,0.0001
in search--spoke,10605,0.0001,0.0001
caught-r-crossfire,10605,0.0001,0.0001
case--murder,10605,0.0001,0.0001
case--life,10605,0.0001,0.0001
case--killed,10605,0.0001,0.0001
custody-r-working,10605,0.0001,0.0001
custody-r-status,10605,0.0001,0.0001
facing--unnecessary,10605,0.0001,0.0001
investigating-r-killed,10605,0.0001,0.0001
custody--status,10605,0.0001,0.0001
investigate-r-working,10605,0.0001,0.0001
investigate--status,10605,0.0001,0.0001
investigate--killed,10605,0.0001,0.0001
intoxicated-r-pulled over,10605,0.0001,0.0001
intervened-r-shot,10605,0.0001,0.0001
intervened-r-joined in,10605,0.0001,0.0001
intervened--vigil,10605,0.0001,0.0001
intervened--shot,10605,0.0001,0.0001
