index,output.relations_lemma,aqs,aqs_initial
custody-r-status,10605,0.0001,0.0001
custody-r-work,10605,0.0001,0.0001
enter--schedule,10605,0.0001,0.0001
enraged-r-pour,10605,0.0001,0.0001
dead--follow - up,10605,0.0001,0.0001
rescue--under control,10605,0.0001,0.0001
enraged--shot,10605,0.0001,0.0001
enraged--reveal,10605,0.0001,0.0001
dead--leaf,10605,0.0001,0.0001
emotion-r-murder,10605,0.0001,0.0001
duty-r-lie,10605,0.0001,0.0001
dead--that,10605,0.0001,0.0001
dead--violence,10605,0.0001,0.0001
protest--scrutiny,10605,0.0001,0.0001
duty--find,10605,0.0001,0.0001
dead-r-leaf,10605,0.0001,0.0001
dui-r-latest,10605,0.0001,0.0001
crime-r-uphold,10605,0.0001,0.0001
dead-r-riot,10605,0.0001,0.0001
erupt-r-protest,10605,0.0001,0.0001
crime-r-die,10605,0.0001,0.0001
convict--shot,10605,0.0001,0.0001
pour--shooting,10605,0.0001,0.0001
convict--take,10605,0.0001,0.0001
convict--trial,10605,0.0001,0.0001
convict--wound,10605,0.0001,0.0001
present--trial,10605,0.0001,0.0001
escort--feud,10605,0.0001,0.0001
cover--rule,10605,0.0001,0.0001
cover-r-hear,10605,0.0001,0.0001
escape--execute,10605,0.0001,0.0001
cover-r-testify,10605,0.0001,0.0001
cower-r-find,10605,0.0001,0.0001
present--wound,10605,0.0001,0.0001
create--toss,10605,0.0001,0.0001
create--ugly,10605,0.0001,0.0001
create-r-melee,10605,0.0001,0.0001
create-r-point,10605,0.0001,0.0001
create-r-ugly,10605,0.0001,0.0001
crime--do,10605,0.0001,0.0001
erupt-r-riot,10605,0.0001,0.0001
return-r-shot,10605,0.0001,0.0001
crime--shooting,10605,0.0001,0.0001
crime--shot,10605,0.0001,0.0001
crime-r-do,10605,0.0001,0.0001
protest--vigil,10605,0.0001,0.0001
dead-r-that,10605,0.0001,0.0001
release--trial,10605,0.0001,0.0001
die-r-marry,10605,0.0001,0.0001
death-r-transfer,10605,0.0001,0.0001
die--use,10605,0.0001,0.0001
death-r-turn,10605,0.0001,0.0001
die--uphold,10605,0.0001,0.0001
die--shooting,10605,0.0001,0.0001
q & a-r-review,10605,0.0001,0.0001
death—and-r-mourn,10605,0.0001,0.0001
death—and-r-protest,10605,0.0001,0.0001
death—and-r-treatment,10605,0.0001,0.0001
declare--rush,10605,0.0001,0.0001
delay--threaten,10605,0.0001,0.0001
put-r-shot,10605,0.0001,0.0001
die--left,10605,0.0001,0.0001
deploy-r-rescue,10605,0.0001,0.0001
deploy-r-thwart,10605,0.0001,0.0001
describe-r-regain,10605,0.0001,0.0001
detect--escort,10605,0.0001,0.0001
determine--do,10605,0.0001,0.0001
put--shot,10605,0.0001,0.0001
determine-r-do,10605,0.0001,0.0001
push-r-take,10605,0.0001,0.0001
determine-r-shot,10605,0.0001,0.0001
discover--distressed state,10605,0.0001,0.0001
discover-r-thought,10605,0.0001,0.0001
death-r-put,10605,0.0001,0.0001
death-r-penalty,10605,0.0001,0.0001
drunk driving-r-time,10605,0.0001,0.0001
drunk driving--time,10605,0.0001,0.0001
protest--violation,10605,0.0001,0.0001
drunk driving--play - off game,10605,0.0001,0.0001
drive-r-prior dui,10605,0.0001,0.0001
drive--prior dui,10605,0.0001,0.0001
death--have,10605,0.0001,0.0001
death--let off,10605,0.0001,0.0001
death--life,10605,0.0001,0.0001
death--name,10605,0.0001,0.0001
death--penalty,10605,0.0001,0.0001
reveal-r-use,10605,0.0001,0.0001
draw--speeding,10605,0.0001,0.0001
death--shooting,10605,0.0001,0.0001
draw--intoxicate,10605,0.0001,0.0001
death--violation,10605,0.0001,0.0001
death-r-delay,10605,0.0001,0.0001
death-r-erupt,10605,0.0001,0.0001
protest-r-throw,10605,0.0001,0.0001
regain--shot,10605,0.0001,0.0001
do-r-shot,10605,0.0001,0.0001
do-r-shooting,10605,0.0001,0.0001
death-r-life,10605,0.0001,0.0001
do--shooting,10605,0.0001,0.0001
death--ruling,10605,0.0001,0.0001
fire-r-purpose,10605,0.0001,0.0001
convict--second - degree murder,10605,0.0001,0.0001
convict--emotion,10605,0.0001,0.0001
schedule-r-take the stand,10605,0.0001,0.0001
circumstance-r-commit,10605,0.0001,0.0001
circumstance-r-duty,10605,0.0001,0.0001
circumstance-r-find,10605,0.0001,0.0001
circumstance-r-lie,10605,0.0001,0.0001
circumstance-r-wait,10605,0.0001,0.0001
claim the life--take place,10605,0.0001,0.0001
find-r-posession,10605,0.0001,0.0001
find-r-perform,10605,0.0001,0.0001
schedule--take the stand,10605,0.0001,0.0001
find-r-lie,10605,0.0001,0.0001
claim--schedule,10605,0.0001,0.0001
claim--trial,10605,0.0001,0.0001
claim-r-schedule,10605,0.0001,0.0001
find--that,10605,0.0001,0.0001
scene-r-vigil,10605,0.0001,0.0001
clash--pour,10605,0.0001,0.0001
clash--shooting,10605,0.0001,0.0001
scene--vigil,10605,0.0001,0.0001
plague-r-shooting,10605,0.0001,0.0001
find--second - degree murder,10605,0.0001,0.0001
clash-r-toss,10605,0.0001,0.0001
clash-r-turn,10605,0.0001,0.0001
circumstance--lie,10605,0.0001,0.0001
clash-r-ugly,10605,0.0001,0.0001
circumstance--guilty,10605,0.0001,0.0001
circumstance--commit,10605,0.0001,0.0001
piracy-r-thwarts,10605,0.0001,0.0001
fire-r-open fire,10605,0.0001,0.0001
fire-r-lose,10605,0.0001,0.0001
fire-r-load,10605,0.0001,0.0001
fire-r-lead,10605,0.0001,0.0001
charge-r-hear,10605,0.0001,0.0001
fire-r-interview,10605,0.0001,0.0001
charge-r-hide,10605,0.0001,0.0001
charge-r-in custody,10605,0.0001,0.0001
fire-r-injure,10605,0.0001,0.0001
pirate--transit,10605,0.0001,0.0001
pirate-r-transit,10605,0.0001,0.0001
charge-r-reveal,10605,0.0001,0.0001
