worker,duration,output.relations_lemma.count,job,judgment,unit,wqs,wqs_initial
44322393,83.4871794872,1.0,1,39,39,0.164187279298,0.105080328016
44180706,33.9090909091,1.0,1,11,11,0.164257233724,0.0701822858468
13581319,25.2,1.4,1,5,5,0.164710125536,0.123052265417
43854007,36.25,1.25,1,4,4,0.164764761085,0.125580757093
44049964,47.5,1.3125,1,64,64,0.165315399594,0.111035667406
43670571,17.0,1.0,1,1,1,0.165401911392,0.139896252
34070076,37.5333333333,1.6,1,15,15,0.166257263182,0.106485579768
11257883,68.6666666667,1.14285714286,1,21,21,0.166971916709,0.123667796596
1863467,52.1333333333,1.06666666667,1,15,15,0.166998989048,0.109994810736
38479796,28.125,1.0,1,40,40,0.167389763241,0.0930056850951
35330747,91.6,2.2,1,5,5,0.169914252006,0.15910722244
43160111,40.0,1.0,1,10,10,0.173484123437,0.11168488592
44180540,50.8823529412,1.0,1,17,17,0.173558058572,0.114611270645
44244546,49.1666666667,1.83333333333,1,24,24,0.173674839389,0.127318704442
38082417,49.875,1.0,1,8,8,0.174428921987,0.102754070572
42393430,30.3333333333,1.33333333333,1,3,3,0.174478969957,0.11799043349
43982188,22.5,1.0,1,10,10,0.176706585666,0.115231161078
31613324,152.28125,1.09375,1,64,64,0.177890861976,0.113385055963
44304949,132.857142857,1.0,1,7,7,0.178551186209,0.136493591024
43747423,54.25,2.5,1,4,4,0.179153874736,0.0969145177023
44225611,139.625,1.0,1,32,32,0.179765343214,0.113422407179
43861575,13.6612903226,1.06451612903,1,62,62,0.18287381751,0.105077123132
44156370,39.8571428571,1.0,1,14,14,0.183617556478,0.148411243543
43983782,68.5408163265,1.01020408163,1,196,196,0.187829350523,0.126905110224
22419688,106.5,4.0,1,2,2,0.188556169121,0.184010563802
39744930,51.875,2.0,1,8,8,0.188892799514,0.130737361494
26024737,10.24,1.0,1,25,25,0.189809417147,0.11610868307
29768955,18.5,1.0,1,4,4,0.190187496317,0.141138610703
6363996,217.142857143,1.0,1,7,7,0.190367478569,0.114455427353
44220716,137.6,1.05,1,20,20,0.190807982425,0.162010943199
41838051,112.52,1.28,1,25,25,0.192435085411,0.123780830955
27597031,34.0,1.13333333333,1,15,15,0.192728239412,0.126674392696
6450759,21.1851851852,1.11111111111,1,27,27,0.193052871398,0.111634563548
30777913,38.3913043478,1.82608695652,1,23,23,0.19689675655,0.147440938415
44038582,110.72,3.88,1,25,25,0.197638436228,0.148664764199
43900600,260.0,1.03076923077,1,130,130,0.198110316331,0.129190650752
3587109,17.3103448276,1.0,1,58,58,0.198162572254,0.110684994309
43113169,44.5,5.0,1,2,2,0.19876206181,0.15558844582
28335646,91.1127819549,1.17293233083,1,133,133,0.2006334066,0.123896720505
31462934,62.0,1.0,1,1,1,0.201065924087,0.151268584275
41161616,90.6428571429,1.32142857143,1,56,56,0.20263068086,0.129588906598
19838540,82.4,1.08275862069,1,145,145,0.203136319636,0.127647561115
44238417,61.25,1.25,1,4,4,0.204348406803,0.126889391785
14861092,20.0,1.0,1,6,6,0.204519680599,0.112101586861
44223409,42.6511627907,1.0,1,43,43,0.205195749636,0.16929831651
39463195,84.0,3.2,1,15,15,0.205819299289,0.134210488945
44326365,62.8666666667,1.0,1,15,15,0.20890421234,0.120830359864
44234175,43.4264705882,1.0,1,68,68,0.209400632041,0.113966097716
12115558,32.7647058824,1.35294117647,1,17,17,0.210375096312,0.124717193784
6524027,62.8032786885,1.37704918033,1,61,61,0.210481173063,0.137680031427
44119043,39.5,1.5,1,2,2,0.211935174475,0.113736367674
32472208,73.5555555556,2.44444444444,1,9,9,0.212198378497,0.151730160316
44099994,13.25,1.625,1,16,16,0.212358405551,0.15951163344
44110297,48.52,1.84,1,25,25,0.21319891618,0.11129089722
44053585,36.8888888889,1.22222222222,1,9,9,0.213959291992,0.15569318985
44189114,120.5,3.33333333333,1,42,42,0.214174871166,0.125803130383
44180794,70.8,1.0,1,15,15,0.216112432656,0.183868575316
44309696,14.0,5.0,1,1,1,0.217215076738,0.255123845525
15965551,81.4193548387,1.29032258065,1,31,31,0.218443577302,0.142820915783
32362391,131.928571429,2.0,1,14,14,0.219931262057,0.0921893122199
44248178,18.8666666667,1.90666666667,1,75,75,0.220589761922,0.149058313045
19294877,475.0,1.5,1,2,2,0.222268316078,0.147351863745
1924522,26.7777777778,1.0,1,27,27,0.222882120194,0.156337319725
40700258,21.6666666667,1.0,1,6,6,0.224798881825,0.1616217989
44043587,14.9333333333,1.6,1,30,30,0.225729664206,0.166755439222
1855113,46.8620689655,1.93103448276,1,29,29,0.22600341976,0.158816695614
44124794,87.5,1.0,1,8,8,0.227527322898,0.118802408493
44220382,84.6206896552,2.41379310345,1,58,58,0.228277740635,0.170288285963
30766630,54.5203252033,1.59349593496,1,123,123,0.228320154188,0.132586188944
44207995,21.0,3.2,1,5,5,0.229000904498,0.114392413717
44243615,54.16,1.0,1,100,100,0.23315094752,0.160195162932
44272176,94.0,1.0,1,12,12,0.235176046125,0.137922389816
44261167,24.4117647059,1.64705882353,1,17,17,0.236237019837,0.166427994041
