worker,duration,output.relations_noOffset.count,job,judgment,unit,wqs,wqs_initial
36174227,77.0,1.0,1,2,2,0.251874538151,0.130371159991
43858672,28.5,1.01219512195,1,82,82,0.252330105641,0.21259630129
16715963,37.3333333333,1.33333333333,1,6,6,0.252811882143,0.169344679716
10959404,33.829787234,1.06382978723,1,47,47,0.253182455081,0.150724031412
44221734,43.2682926829,2.90243902439,1,41,41,0.253452666413,0.184240600078
23503585,91.6,1.6,1,10,10,0.253561773451,0.12168868995
40039601,85.625,1.125,1,8,8,0.25534355827,0.180209098561
44264551,92.5384615385,1.07692307692,1,13,13,0.256741496967,0.175727666076
41838051,52.7368421053,1.26315789474,1,19,19,0.257432300642,0.152070734419
44325757,32.1333333333,2.0,1,15,15,0.25921440762,0.152001868069
39127197,20.0,1.5,1,2,2,0.260811538798,0.0564812951998
21613169,25.56,1.04,1,25,25,0.260843238061,0.163947470149
28335646,113.574712644,1.29885057471,1,87,87,0.261228795569,0.147716117438
31613324,117.933333333,1.06666666667,1,60,60,0.263272841208,0.145639835155
6363996,269.5,1.0,1,4,4,0.265014584898,0.119527783511
43856242,28.2333333333,2.3,1,30,30,0.272326980838,0.157883914076
44189114,102.304347826,4.5652173913,1,23,23,0.273820416393,0.152495358489
43747423,53.7272727273,2.09090909091,1,11,11,0.274985323836,0.128317148678
41841195,35.6170212766,1.04255319149,1,47,47,0.275604345516,0.140542956051
40421145,41.625,1.0625,1,16,16,0.275687572768,0.117184876724
44303307,250.4,1.86666666667,1,15,15,0.27808497278,0.20766029295
35903629,21.8571428571,1.0,1,7,7,0.283495247118,0.188977054589
44088267,91.3684210526,2.10526315789,1,19,19,0.284758613462,0.131584409563
39339973,44.6,3.9,1,30,30,0.284849316882,0.160675669638
6082058,167.166666667,2.44444444444,1,18,18,0.285518221749,0.117732705457
43768012,149.066666667,1.66666666667,1,15,15,0.290410448408,0.142294678503
39744930,82.6470588235,1.82352941176,1,17,17,0.290640133842,0.164236111924
44292353,52.0,1.25,1,4,4,0.298460760191,0.153815694355
32850083,57.1,1.725,1,40,40,0.299763963307,0.155665982584
44225611,109.25,1.0,1,28,28,0.300063854742,0.163229662726
44090708,69.1052631579,1.42105263158,1,19,19,0.300111486023,0.125914431861
44244709,220.733333333,2.0,1,15,15,0.302065215055,0.223849645062
44220819,155.72972973,1.05405405405,1,37,37,0.302790379889,0.213357120138
44277951,79.7,2.0,1,30,30,0.304447328114,0.196122674177
44277360,80.3333333333,2.0,1,30,30,0.304447328114,0.196122674177
11145155,28.4,3.0,1,10,10,0.304805166666,0.163805238645
35797102,14.5,1.25,1,4,4,0.305104019314,0.165985913361
18482369,78.5,1.33333333333,1,6,6,0.306175358512,0.197188943995
15577915,19.3666666667,1.03333333333,1,30,30,0.308123232537,0.181913600568
29289135,55.2452830189,1.66037735849,1,53,53,0.308495360722,0.166716950401
34713230,48.5,1.88888888889,1,18,18,0.309876063403,0.18105394192
43522574,83.8461538462,1.0,1,26,26,0.310002905729,0.170570338671
44259837,163.333333333,1.0,1,15,15,0.310749452674,0.196177588792
16469970,39.0,1.0,1,2,2,0.31126459554,0.170091610784
18666417,72.5277777778,1.63888888889,1,36,36,0.311852634082,0.191473128788
44152442,136.178571429,1.46428571429,1,28,28,0.313613214141,0.160788755335
27770607,26.8571428571,1.14285714286,1,42,42,0.317994251076,0.162120046717
21245943,83.0,1.2,1,5,5,0.318064442248,0.125749952419
44220716,143.735294118,1.20588235294,1,68,68,0.319518239559,0.205287818537
44204154,65.4444444444,4.44444444444,1,18,18,0.321135977709,0.204196104194
12918534,40.0,3.0,1,1,1,0.322201458208,0.144134624626
44291040,358.777777778,1.0,1,9,9,0.322746869287,0.250169256601
43611950,22.0,2.0,1,1,1,0.324424681289,0.135052395283
40233359,75.0,1.2,1,5,5,0.325833837398,0.201431171794
44256721,97.696969697,1.0,1,33,33,0.326474034468,0.269138673444
13842059,29.1666666667,1.0,1,6,6,0.326628967452,0.201566976278
16854635,61.2307692308,1.02564102564,1,78,78,0.327396003449,0.188489054519
