,duration,job,judgment,output.rellist.count,unit,wqs,wqs_initial
A1PJLZSOUQ4MIL,187.539325843,1,89,1.04494382022,89,0.665219334643,0.493542836421
A1PQNUX4BZE5O0,78.3928571429,1,28,1.64285714286,28,0.259326799694,0.149144167719
A1RT9SQ9D9DLOV,98.6346153846,1,52,1.03846153846,52,0.569931385683,0.430484816438
A1RXG8RE0SJ4LC,120.0,1,1,2.0,1,0.1582238085,0.204124145232
A1T9DFT0XOO3V5,79.2666666667,1,15,14.0,15,0.0959850722593,0.13208311189
A1X94LTZZQMHTP,18.5625,1,32,1.0625,32,0.431411924269,0.247510070666
A1XH05IKC77OXO,124.0,1,1,1.0,1,0.0,0.0
A1Z6F664MYBMVI,201.0,1,1,1.0,1,0.930396185953,0.899105460252
A20BMZQJS92QY2,75.0,1,1,1.0,1,1.0,1.0
A21I4DTJGWJYQJ,87.9756097561,1,41,1.24390243902,41,0.459413962297,0.333201535065
A22VGT2F28LTWC,79.68,1,25,1.12,25,0.403902156816,0.228069012543
A24LC97AU3QC7G,76.8571428571,1,7,1.57142857143,7,0.701505984059,0.484439992197
A2541C8MY0BYV3,27.5,1,10,1.0,10,0.457706456012,0.316139324019
A26ERTJPV1A1IM,112.5,1,2,1.0,2,0.0584171338411,0.0565333771083
A26T6O5EFR54A9,61.5476190476,1,126,1.26984126984,126,0.689700277664,0.526946609494
A26XN1TM6CV01T,56.25,1,4,1.25,4,0.795396530952,0.550995458519
A271JEOKZV8ZXH,34.3333333333,1,27,1.51851851852,27,0.472922198035,0.26376255831
A291KO368YRYCR,54.0,1,1,1.0,1,0.0214747380572,0.0314970394174
A29RBRL117PYX0,32.5,1,2,1.0,2,0.502710008163,0.361500419571
A29VL3MZE7YPBZ,39.8439306358,1,173,1.28323699422,173,0.531550243705,0.37663047379
A2BOXK0KVXGKPU,55.4375,1,16,1.75,16,0.510027664964,0.24395174021
A2C7UETA9SL9SK,26.3333333333,1,15,1.0,15,0.856964294974,0.757487268739
A2CK0OXMPOR9LE,77.8615384615,1,65,1.26153846154,65,0.640248870648,0.436498416977
A2EEL9YYUHL5SK,145.841423948,1,309,1.41100323625,309,0.730367896275,0.568613222516
